exercise,round,rest
Push Up and Shoulder tap x7,2,15
One Arm Push-up x0?-0?-0?,1,60
Push Up x? +Asymmetric push x10-10-5,1,30
Chest Wide Stretch x30s,1,40
Lean planche push-up x? +Lean planche hold x? +Hand-stand Push-Up x? +Pike Push-up x? +Lateral Raise with band x? +Lateral Raise x10-10-5,2,70
Shoulder Stretch x30s,1,70
Scapular Pull-up x10,2,15
Front Lever Raise x? +Front Lever hold x? +Pull-up x? +Row with band x? +Standing Lat Pull Down with Towel x10-10-5 +Reverse Snow Angel x12 +Biceps with band x10-5 +ABS: Bicycle x40,2,90
Hollow Hold on Bar x30s,1,40
Slow Squat x20,2,15
Piston Squat x? +Single Leg Deadlift x? +ABS: Reverse Crunch x40,2,60
Wall Sit x? +Calf Raise x30 +Toe Curl x40,1,50
Cobra Pose x10s +Back Flexion Stretch x10s +Pirifomis Muscle Stretch x10s +Lower Back Twist Stretch x10s +Baby Pose x10s +The cat camel x10s,1,30
