exercise,round,rest
Scapular Pull-up x10,2,15
Front Lever Raise and Hold xMax,3,30
Straight Arm Lat Pull Down xMax +Reverse Snow Angel x12,1,30
Straight Arm Lat Stretch with Band x30s,1,40
Row with band xMax,3,30
Hollow Hold on Bar x30s,1,40
Pull-up xMax,3,30
Standing Lat Pull Down with Towel x10-10-5 +Biceps with band x10-5,1,30
Hollow Hold on Bar x30s,1,40
Cobra Pose x10 +Baby Pose x10 +Back Flexion Stretch x10 +Pirifomis Muscle Stretch x10 +Lower Back Twist Stretch x10 +The cat camel x10,1,30
