exercise,round,rest
Khởi động kéo (Scapular Pull-up) x10,2,15
Kéo cáp thẳng tay (Straight Arm Lat Pull Down) xMax,3,30
Quạt tay (Reverse Snow Angel) x12,1,30
Giãn cơ thẳng tay với cáp (Straight Arm Lat Stretch) x30s,1,40
Ngồi kéo ngang (Seated Rows) xMax,3,30
Ngồi giãn cơ với cáp (Seated Cable Hold) x30s,1,40
Ngồi kéo trên xuống (Lateral Pulldown) xMax,3,30
Đứng kéo với khăn (Standing Lat Pull Down with Towel) x10-10-5,1,30
Ngồi giãn cơ phía trên (Hollow Hold on Bar) x30s,1,40
Giãn cơ xMax + Cobra Pose x10 +Baby Pose x10 +Back Flexion Stretch x10 +Pirifomis Muscle Stretch x10 +Lower Back Twist Stretch x10 +The cat camel x10,1,30
