exercise,round,rest
Scapular Pull-up x10,2,15
Front Lever Raise and Hold max-max-max,3,30
Reverse Snow Angel x12,1,30
Straight Arm Lat Stretch with Band x30s,1,40
Row with band max-max-max,3,30
Hollow Hold on Bar x30s,1,40
Pull-up max-max-max,3,30
Standing Lat Pull Down with Towel x10-10-5 +Biceps with band x10-5,1,30
Hollow Hold on Bar x30s,1,30
Cobra Pose x10s +Baby Pose x10s +Back Flexion Stretch x10s +Pirifomis Muscle Stretch x10s +Lower Back Twist Stretch x10s +The cat camel x10s,1,30
