exercise,round,rest
Scapular Pull-up x10,2,15
Lat Pull-down x0?-0?-0?,3,30
Hollow Hold on Bar x30s,1,40
Seated Cable Row x0?-0?-0?,3,30
Hollow Hold on Bar x30s,1,40
Straight-arm Lat Pull-down x0?-0?-0?,3,30
Standing Lat Pull Down with Towel x10-10-5 +Reverse Snow Angel x12,1,30
Straight Arm Lat Stretch with Cable x30s,1,40
Biceps curl x10-5,2,30
Cobra Pose x10s +Back Flexion Stretch x10s +Pirifomis Muscle Stretch x10s +Lower Back Twist Stretch x10s +Baby Pose x10s +The cat camel x10s,1,30
